uid,title,day,start_date,start_time,end_time,category,description,organiser,organiser_emails,organiser_affiliation,organiser_bio,image,web_link,slack_channel,channel_url
11,Opening Session,2,2023-11-06,9:00,9:30,Opening,Opening Session,Session chair: opening session chair,,,,,,,
12,"Keynote-1: Christine Abuer on ""Help! - Bridging the Gap Between Music Technology and Diverse Stakeholder Needs""",2,2023-11-06, 9:30,10:00,All Meeting,,Christine Bauer,,"Help! - Bridging the Gap Between Music Technology and Diverse Stakeholder Needs","Christine Bauer is EXDIGIT Professor of Interactive Intelligent Systems at the Department of Artificial Intelligence and Human Interfaces (AIHI) at the Paris Lodron University Salzburg, Austria. Her research centers on interactive intelligent systems, where she integrates research on intelligent technologies, the interaction of humans with an intelligent system, and their interplay. She takes a human-centered perspective, where technology follows humans’ and society’s needs. In recent years, she worked on context-aware recommender systems in the music and media domains. The core interests in her research activities are fairness and multi-method evaluations. She has authored more than 100 papers and holds several best paper awards and many awards for her reviewing activities. She received the prestigious Elise Richter career research grant (2017–2020), funded by the Austrian Science Fund (FWF). She is on the Editorial Board of ACM Transactions on Recommender Systems (TORS) and co-organizes the Workshop series “Perspectives on the Evaluation of Recommender Systems (PERSPECTIVES)”. She advocates for equal opportunities and engages in initiatives such as Women in Music Information Retrieval (WiMIR) and the Allyship program at CHI.",christine_bauer.jpg, https://christinebauer.eu, ,
13,Paper Session - 1,2,2023-11-06,10:00,13:00,Poster session,,Session Chair: Session Chair Paper Session 1,,,,,,,
14,Lunch,2,2023-11-06,13:00,14:30,Lunch,,,,,,,,,
15,Paper Session - 2,2,2023-11-06,14:30,17:00,Poster session,,Session Chair: Session Chair Paper Session 2,,,,,,,
16,Special Session 1: Inclusion Session and Meetup,2,2023-11-06,17:30,19:30,Meetup," The panel focus is on Diversity and Inclusion in MIR Research from an academic point of view. In particular, the panel will start with an introduction of the panelist and how their research related to diversity and inclusion and how they addressed D&I during their research. A discussion related to how to improve diversity and inclusion in MIR research will follow. The following. The following meetup will be an informal meeting to get to know each other. It will consist of two activities aimed at introducing people to each other while having an aperitivo all together!","Moderators: Claire Arthur Panelists:Lorenzo Porcaro, Christine Bauer, Georgina Born",,,,,,,
17,Registration,3,2023-11-07,8:00,9:00,Registration,Time to register at ISMIR2023!,,,,,,,,
18,"Keynote-2: Rachel Bittner on ""Building & Launching MIR systems at industry scale""",3,2023-11-07,9:00,10:00,All Meeting,,Rachel Bittner,,"Building & Launching MIR systems at industry scale","There is a considerable gap in the research and engineering methods we use to build MIR systems for academic research and the way we build them for industry-scale systems. This keynote covers some of the many differences and challenges faced when building MIR systems for industry applications. We first discuss the way we define problems in the first place, and why the academic definition of problems is often ill-suited for a particular application. There are also substantial differences in engineering workflows – in particular when multiple researchers and engineers build a single system. We explore differences in academic datasets which are usually “small and clean” to real-world datasets which are “large and noisy”. Academic metrics are useful for us scientists, but they often either don’t match a product use case or mean nothing to product teams. Finally, we dig into deployment considerations including how to run inference flexibly, considering cost and speed, and where the system needs to run. We will explore numerous real-world examples throughout and provide insight into how to build MIR systems within industry.",rachel_bittner.jpg,,,
19,Paper Session - 3,3,2023-11-07,10:00,13:00,Poster session,,Session Chair: Session Chair Paper Session 3,,,,,,,
20,Lunch,3,2023-11-07,13:00,14:30,Lunch,,,,,,,,,
21,Paper Session - 4,3,2023-11-07,14:30,17:00,Poster session,,Session Chair: Session Chair Paper Session 4,,,,,,,
22,Music Program,3,2023-11-07,17:30,19:00,Music,,Session Chair: Music Program Session Chair,,,,,,,
23,Industry Meetup,3,2023-11-07,19:00,20:00,Industry,,Session Chair: Industry Session Chair,,,,,,,
24,Registration,4,2023-11-08,8:00,9:00,Registration,Time to register at ISMIR2023!,,,,,,,,
25,"Keynote - 3: Joey Stuckey on ""Seeing the light through music, a blind man’s journey of discovery through audio and how to navigate making music that speaks to the world in the age of the Screen Driven universe.""",4,2023-11-08,9:00,10:00,All Meeting,"This presentation will encompass:<ul><li>Diversity, Equity, Inclusion and Accessibility issues and best practices for a truly vibrant and equitable community in the audio industry and music business.</li><li>Getting back to fundamentals, critical listening in the age of the “Screen Driven Universe”.</li><li>Important elements of music making and the recording sciences</li><li>How to live a successful life of intention despite obstacles</li></ul>",Joey Stuckey,,"Seeing the light through music, a blind man’s journey of discovery through audio and how to navigate making music that speaks to the world in the age of the Screen Driven universe","Joey Stuckey is the Official Music Ambassador of his hometown of Macon, Georgia. Joey spends every moment living life to the fullest and sharing his story and inspirational spirit through his musical performances and speaking engagements. As a toddler, Joey was diagnosed with a brain tumor and underwent surgery with little hope of survival. Though the tumor left Joey blind and with other health challenges, today, he continues to live a successful life of intention in his chosen field of music. Joey is professor of music technology at Mercer University, the music technology consultant for Middle Georgia State University, and an official music mentor for the Recording, Radio and Film Connection in Los Angeles as well as an active voting member of the Grammys. He is the owner and senior engineer at Shadow Sound Studio which is a destination recording facility with state-of-the-art analog and digital technology. He has spoken and performed all over the world including at the University College of London, the Georgia Music Hall of Fame, and the Audio Engineering Society in New York City, just to name a few. In his roles as producer, engineer, recording artist and journalist, he has worked with many musical legends including Trisha Yearwood, Clarence Carter, James Brown, Alan Parsons, Gene Simmons (KISS), Al Chez (Tower of Power), Jimmy Hall (Wet Willie), Danny Seraphin (Chicago), Kevin Kenney (Drivin’ and Cryin’), and many, many more.",joey_stuckey.jpg,https://joeystuckey.com,,
26,Paper Session - 5,4,2023-11-08,10:00,13:00,Poster session,,Session Chair: Session Chair Paper Session 5,,,,,,,
27,Lunch,4,2023-11-08,13:00,14:30,Lunch,,,,,,,,,
28,Paper Session - 6,4,2023-11-08,14:30,17:00,Poster session,,Session Chair: Session Chair Paper Session 6,,,,,,,
29,Special Session 2: Panel Session,4,2023-11-08,17:30,18:30,Meetup,special session description,Moderator:Panel Moderators and Panelists,,,,,,,
30,Special Session 3: Data Awareness,4,2023-11-08,18:30,19:30,Meetup,special session description,Moderator:Data Awareness Moderators and Panelists,,,,,,,
31,"Banquet, Jazz Concert and Jam Session",4,2023-11-08,20:30,22:30,Social,,,,,,,,,
32,Registration,5,2023-11-09,8:00,9:00,Registration,Time to register at ISMIR2023!,,,,,,,,
33,Paper Session - 7,5,2023-11-09,9:00,11:00,Poster session,,Session Chair: Session Chair Paper Session7,,,,,,,
34,"Society meeting, awards and closing",5,2023-11-09,11:30,13:30,Awards,"Society meeting, awards and closing","Session chair: closing session chair",,,,,,,
35,Lunch,5,2023-11-09,13:30,15:00,Lunch,,,,,,,,,
36,Late-breaking/Demo,5,2023-11-09,15:00,17:00,LBD,"The Late-breaking/Demo (LBD) session is a forum for sharing prototype systems, initial concepts, and early results which may have not yet fully matured but are of interest to the Music-IR community. It is also a great entry point for people who are new to ISMIR to showcase their preliminary work and receive early feedback from fellow researchers. Attendees of the LBD can interact with demos or discuss their thoughts on the latest developments in the field.","Session Chairs: LBD Session Chairs",,,,,,,
37,Visit to the Violin Museum (Cremona),6,2023-11-10,09:00,17:30,Social,,,,,,,https://ismir2023.ismir.net/violinMuseum/,,
